NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,,844,2739064.229991913
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMERCIO ATACADISTA,21,1419133.4140625
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,1074,2.841980096317604E7
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,,CONSTRUCAO CIVIL,213,1939609.5005760193
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,4,10456.07995223999
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO ATACADISTA,184,6555469.965263367
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,120,1.147340118508242E7
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,65,8686317.710651398
RJ,CE,RIO DE JANEIRO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO ATACADISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,17,457833.0718688965
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,,OUTROS SEGMENTOS,108,1219506.656381378
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,INDUSTRIA,,65,2.520737558456421E7
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMBUSTIVEL,30,1031629.6832885742
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,SERVICOS DE TRANSPORTE,5,913085.1397094727
MS,CE,MATO GROSSO DO SUL,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,INDUSTRIA,34,238199.59765625
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,,65,3601598.1296844482
CE,CE,CEARA,CEARA,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,ENERGIA ELETRICA,2,1150.0
PB,CE,PARAIBA,CEARA,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,COMBUSTIVEL,4,1004502.625
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,,7,328018.599609375
AM,CE,AMAZONAS,CEARA,N,NE,Norte,Nordeste,,ENERGIA ELETRICA,8,4789716.625
CE,GO,CEARA,GOIAS,NE,CO,Nordeste,Centro-Oeste,,,23,221436.5386428833
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,INDUSTRIA,COMERCIO ATACADISTA,5,985930.0
CE,PB,CEARA,PARAIBA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,,8,1835068.36328125
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,INDUSTRIA,COMERCIO VAREJISTA,1428,4.410818343928528E7
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,SERVICOS DE COMUNICACAO,,34,320164.54290628433
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,ENERGIA ELETRICA,ENERGIA ELETRICA,22,3.520459338000488E7
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,ENERGIA ELETRICA,COMERCIO VAREJISTA,1,79441.546875
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE COMUNICACAO,1,1854.300048828125
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,12,24321.93025970459
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,,COMBUSTIVEL,72,7169351.907203674
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,CONSTRUCAO CIVIL,1,3529.909912109375
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,INDUSTRIA,SERVICOS DE TRANSPORTE,6,53208.65870857239
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,INDUSTRIA,1,381.3599853515625
CE,AM,CEARA,AMAZONAS,NE,N,Nordeste,Norte,SERVICOS DE COMUNICACAO,,4,4341.2600021362305
CE,RO,CEARA,RONDONIA,NE,N,Nordeste,Norte,COMBUSTIVEL,,1,7114.72998046875
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,COMBUSTIVEL,INDUSTRIA,1,1364.5999755859375
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,COMERCIO VAREJISTA,COMERCIO VAREJISTA,1,4050.0
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,COMERCIO ATACADISTA,21,93927.88833618164
CE,TO,CEARA,TOCANTINS,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,COMERCIO ATACADISTA,1,2280.0
SP,CE,SAO PAULO,CEARA,SE,NE,Sudeste,Nordeste,ENERGIA ELETRICA,SERVICOS DE COMUNICACAO,1,104390.390625
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,COMBUSTIVEL,1,22543.5
CE,SC,CEARA,SANTA CATARINA,NE,S,Nordeste,Sul,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,,1,8000.0
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,2,504.4599914550781
MA,CE,MARANHAO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,1,14500.0
AP,CE,AMAPA,CEARA,N,NE,Norte,Nordeste,,,18,8443.509968280792
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE COMUNICACAO,1,236.14999389648438
GO,CE,GOIAS,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,1,4989.06005859375
CE,AM,CEARA,AMAZONAS,NE,N,Nordeste,Norte,OUTROS SEGMENTOS,OUTROS SEGMENTOS,1,12744.2001953125
CE,PE,CEARA,PERNAMBUCO,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE TRANSPORTE,30,52955.650466918945
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,PRODUTOR AGROPECUARIO,6,330371.4786376953
CE,SC,CEARA,SANTA CATARINA,NE,S,Nordeste,Sul,OUTROS SEGMENTOS,COMERCIO ATACADISTA,3,6780.7098388671875
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,SERVICOS DE TRANSPORTE,SERVICOS DE TRANSPORTE,2,35060.0
RO,CE,RONDONIA,CEARA,N,NE,Norte,Nordeste,,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,2,839.9500122070312
SC,CE,SANTA CATARINA,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,PRODUTOR AGROPECUARIO,3,9069.400146484375
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,COMERCIO ATACADISTA,SERVICOS DE TRANSPORTE,1,1359.1800537109375
SE,CE,SERGIPE,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,SERVICOS DE TRANSPORTE,1,5063.10009765625
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,SERVICOS DE COMUNICACAO,,5,7214.7900903224945
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,OUTROS SEGMENTOS,1,200.0
