NOM_SIGLA_UF_EMIT,NOM_SIGLA_UF_DEST,DSC_UF_EMIT,DSC_UF_DEST,NOM_SIGLA_REGIAO_EMIT,NOM_SIGLA_REGIAO_DEST,DSC_REGIAO_EMIT,DSC_REGIAO_DEST,SEGMENTO_ECONOMICO_EMIT,SEGMENTO_ECONOMICO_DEST,QTDE_NOTAS,TOTAL_VLR
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,OUTROS SEGMENTOS,INDUSTRIA,8,36003.500642091036
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,18,102593.62060546875
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,COMERCIO VAREJISTA,COMERCIO VAREJISTA,13,44604.750007629395
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,INDUSTRIA,COMERCIO VAREJISTA,2,1813.0
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,OUTROS SEGMENTOS,OUTROS SEGMENTOS,1,1500.0
CE,SC,CEARA,SANTA CATARINA,NE,S,Nordeste,Sul,INDUSTRIA,COMERCIO VAREJISTA,18,276798.50732421875
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMERCIO VAREJISTA,SERVICOS DE TRANSPORTE,6,4911.280090332031
PR,CE,PARANA,CEARA,S,NE,Sul,Nordeste,ENERGIA ELETRICA,COMERCIO ATACADISTA,2,31308.26025390625
ES,CE,ESPIRITO SANTO,CEARA,SE,NE,Sudeste,Nordeste,COMBUSTIVEL,ENERGIA ELETRICA,1,27336.080078125
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,INDUSTRIA,22,2375964.8699798584
PE,CE,PERNAMBUCO,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE COMUNICACAO,110,2260064.999759674
CE,RR,CEARA,RORAIMA,NE,N,Nordeste,Norte,,,1,1741.5999755859375
CE,MS,CEARA,MATO GROSSO DO SUL,NE,CO,Nordeste,Centro-Oeste,COMERCIO ATACADISTA,INDUSTRIA,6,5069.520050048828
CE,PR,CEARA,PARANA,NE,S,Nordeste,Sul,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,COMERCIO ATACADISTA,9,80937.40048217773
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,INDUSTRIA,OUTROS SEGMENTOS,5,209739.328125
CE,SP,CEARA,SAO PAULO,NE,SE,Nordeste,Sudeste,SERVICOS DE COMUNICACAO,OUTROS SEGMENTOS,3,589.7399826049805
CE,AP,CEARA,AMAPA,NE,N,Nordeste,Norte,ADMINISTRACAO PUBLICA E ORG.INTERNACIONAIS,,1,1620.0
CE,MG,CEARA,MINAS GERAIS,NE,SE,Nordeste,Sudeste,COMERCIO ATACADISTA,CONSTRUCAO CIVIL,1,1285.0
CE,RR,CEARA,RORAIMA,NE,N,Nordeste,Norte,INDUSTRIA,INDUSTRIA,3,4560.0
CE,SE,CEARA,SERGIPE,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,INDUSTRIA,1,36.79999923706055
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,COMERCIO VAREJISTA,SERVICOS DE TRANSPORTE,2,3077.93994140625
CE,TO,CEARA,TOCANTINS,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,COMERCIO VAREJISTA,2,3788.3999938964844
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,ENERGIA ELETRICA,INDUSTRIA,1,10.800000190734863
MG,CE,MINAS GERAIS,CEARA,SE,NE,Sudeste,Nordeste,CONSTRUCAO CIVIL,,1,3870.409912109375
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,INDUSTRIA,ENERGIA ELETRICA,7,3916240.09375
RN,CE,RIO GRANDE DO NORTE,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,PRODUTOR AGROPECUARIO,6,4334.929931640625
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,COMERCIO VAREJISTA,CONSTRUCAO CIVIL,1,6.659999847412109
CE,RN,CEARA,RIO GRANDE DO NORTE,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,SERVICOS DE COMUNICACAO,10,73400.7001953125
BA,CE,BAHIA,CEARA,NE,NE,Nordeste,Nordeste,ENERGIA ELETRICA,COMERCIO ATACADISTA,1,786.1799926757812
DF,CE,DISTRITO FEDERAL,CEARA,CO,NE,Centro-Oeste,Nordeste,INDUSTRIA,OUTROS SEGMENTOS,1,522.0499877929688
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,CONSTRUCAO CIVIL,CONSTRUCAO CIVIL,4,154018.39453125
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,COMERCIO VAREJISTA,INDUSTRIA,3,148149.04846191406
CE,ES,CEARA,ESPIRITO SANTO,NE,SE,Nordeste,Sudeste,SERVICOS DE TRANSPORTE,COMERCIO ATACADISTA,1,86094.203125
CE,PI,CEARA,PIAUI,NE,NE,Nordeste,Nordeste,COMERCIO ATACADISTA,COMBUSTIVEL,3,28694.850341796875
CE,MA,CEARA,MARANHAO,NE,NE,Nordeste,Nordeste,PRODUTOR AGROPECUARIO,PRODUTOR AGROPECUARIO,1,1120.0
PI,CE,PIAUI,CEARA,NE,NE,Nordeste,Nordeste,INDUSTRIA,OUTROS SEGMENTOS,1,2634.64990234375
CE,RS,CEARA,RIO GRANDE DO SUL,NE,S,Nordeste,Sul,INDUSTRIA,INDUSTRIA,321,6360328.5922083855
RS,CE,RIO GRANDE DO SUL,CEARA,S,NE,Sul,Nordeste,COMERCIO VAREJISTA,SERVICOS DE COMUNICACAO,1,1825.3299560546875
AP,CE,AMAPA,CEARA,N,NE,Norte,Nordeste,,PRODUTOR AGROPECUARIO,138,46998.66025733948
CE,RR,CEARA,RORAIMA,NE,N,Nordeste,Norte,COMERCIO VAREJISTA,COMERCIO VAREJISTA,1,171.0
CE,AL,CEARA,ALAGOAS,NE,NE,Nordeste,Nordeste,SERVICOS DE COMUNICACAO,,19,244803.28717041016
CE,PA,CEARA,PARA,NE,N,Nordeste,Norte,COMERCIO ATACADISTA,INDUSTRIA,108,4302953.152099609
